Date,Open,Price,High,Low,Vol(M),Change%,
Feb 02 / 2022,15139.74,15173.03,15196.40,14960.85,297.73,0.80,
Feb 03 / 2022,14501.11,14693.85,14856.51,14471.19,310.21,-4.22,
Feb 04 / 2022,14694.35,14566.28,14832.05,14452.28,238.70,1.33,
Feb 07 / 2022,14571.25,14716.43,14813.86,14524.63,203.27,-0.84,
Feb 08 / 2022,14747.03,14533.25,14785.22,14485.78,211.61,1.21,
Feb 09 / 2022,15056.96,14930.99,15057.90,14870.36,220.30,2.10,
Feb 10 / 2022,14705.64,14770.67,15037.26,14636.61,259.08,-2.33,
Feb 11 / 2022,14253.84,14739.46,14769.64,14194.54,289.87,-3.07,
Feb 14 / 2022,14268.59,14233.40,14400.78,14119.73,249.43,0.10,
Feb 15 / 2022,14620.82,14482.11,14624.53,14444.46,222.14,2.47,
Feb 16 / 2022,14603.64,14514.84,14647.79,14399.29,194.98,-0.12,
Feb 17 / 2022,14171.74,14485.08,14497.46,14155.43,226.16,-2.96,
Feb 18 / 2022,14009.54,14207.55,14225.72,13918.76,266.12,-1.14,
Feb 22 / 2022,13870.53,13892.81,14109.26,13720.92,258.34,-0.99,
Feb 23 / 2022,13509.43,14016.94,14035.93,13502.58,256.46,-2.60,
Feb 24 / 2022,13974.67,13065.44,13989.10,13065.44,377.16,3.44,
Feb 25 / 2022,14189.16,13973.90,14193.00,13850.29,241.78,1.53,
Feb 28 / 2022,14237.81,14058.61,14296.60,14009.36,309.03,0.34,
Mar 01 / 2022,14005.99,14197.66,14271.58,13906.92,262.94,-1.63,
Mar 02 / 2022,14243.69,14075.11,14292.72,13962.69,233.56,1.70,
Mar 03 / 2022,14035.21,14339.70,14342.56,13965.11,230.88,-1.46,
Mar 04 / 2022,13837.83,13957.60,13992.97,13738.61,244.70,-1.41,
Mar 07 / 2022,13319.38,13853.53,13879.10,13314.44,304.72,-3.75,
Mar 08 / 2022,13267.60,13275.23,13663.27,13129.40,308.91,-0.39,
Mar 09 / 2022,13742.20,13610.48,13793.11,13504.48,261.57,3.58,
Mar 10 / 2022,13591.00,13577.84,13633.69,13399.46,234.12,-1.10,
Mar 11 / 2022,13301.83,13701.80,13714.44,13285.19,238.44,-2.13,
Mar 14 / 2022,13046.64,13248.09,13386.67,13020.40,273.08,-1.92,
Mar 15 / 2022,13458.56,13174.97,13488.18,13092.45,287.73,3.16,
Mar 16 / 2022,13956.78,13633.12,13960.25,13475.09,333.55,3.70,
Mar 17 / 2022,14118.60,13878.99,14125.67,13827.34,232.03,1.16,
Mar 18 / 2022,14420.08,14061.29,14427.47,14014.43,566.58,2.14,
Mar 21 / 2022,14376.09,14377.15,14470.68,14190.53,246.17,-0.31,
Mar 22 / 2022,14654.33,14396.03,14688.97,14385.55,234.86,1.94,
Mar 23 / 2022,14447.55,14525.22,14681.33,14446.04,226.97,-1.41,
Mar 24 / 2022,14765.69,14529.72,14767.73,14440.67,221.27,2.20,
Mar 25 / 2022,14754.31,14766.90,14805.88,14577.59,186.56,-0.08,
Mar 28 / 2022,14987.40,14763.16,14989.08,14705.92,193.74,1.58,
Mar 29 / 2022,15239.32,15142.93,15265.42,15039.61,220.57,1.68,
Mar 30 / 2022,15071.55,15177.15,15229.01,15010.34,206.58,-1.10,
Mar 31 / 2022,14838.49,15074.24,15088.38,14835.16,282.14,-1.55,
Apr 01 / 2022,14861.21,14886.91,14925.93,14723.83,215.30,0.15,
Apr 04 / 2022,15159.58,14903.38,15161.89,14884.57,206.00,2.01,
Apr 05 / 2022,14820.64,15109.27,15120.67,14782.57,209.49,-2.24,
Apr 06 / 2022,14498.89,14600.30,14639.35,14395.40,240.71,-2.17,
Apr 07 / 2022,14531.81,14469.50,14624.24,14315.69,197.28,0.23,
Apr 08 / 2022,14327.26,14450.53,14490.19,14307.68,185.19,-1.41,
Apr 11 / 2022,13990.20,14149.60,14187.67,13979.14,211.62,-2.35,
Apr 12 / 2022,13940.24,14175.66,14264.74,13882.75,193.95,-0.36,
Apr 13 / 2022,14217.29,13939.61,14258.81,13919.48,189.62,1.99,
Apr 14 / 2022,13893.22,14225.47,14235.39,13884.82,223.06,-2.28,
